fname,xgb,rf,lr,xgb_rf_lr
D1637.csv,231.340741027766,476.7606034475209,361.8596684858864,352.8438583537529
D3623.csv,23.664163628185985,25.602056045747837,23.268493782771017,23.97721376750952
D2052.csv,236.63665184783633,298.98750492331044,747.6057428340575,301.14347248219934
D3618.csv,36.454848665587754,34.80656251391411,33.609819161142966,33.43759712985249
D136.csv,862.3116240557955,852.7566108877165,1215.4448404518096,864.1972004084777
D41.csv,2308.659574515642,2309.736218872161,666.513727597772,2316.0059573820768
D1643.csv,171.12725331587066,185.80575204717192,99.60245190647608,186.50779575771563
D2050.csv,104.25786809065866,116.17182521927941,48.68574036097502,53.70071662944579
D2065.csv,144.78298580005645,103.02168778049806,65.2161651560452,144.63222585982413
D32.csv,119.47961826784307,112.05915096045035,139.57725359466684,111.6709978095324
D46.csv,398.3696312617107,422.849871030494,456.1033516575019,505.3348537108526
D162.csv,42.749401604738914,41.96962619750514,33.472842550175294,53.648799107362976
D31.csv,119.47961826784307,112.05915096045035,139.57725359466684,114.594595144324
D2061.csv,82.18602883366707,90.07640833521589,49.17110778313286,96.89649801878838
D176.csv,452.74407307317324,330.13451544586013,167.2359061409332,386.68462757468257
D168.csv,22.92344409620213,19.602129126405526,19.899740164559407,19.691105278604358
D3613.csv,595.4159978433299,669.1986101723081,322.2300556495498,751.3362865226774
D2079.csv,182.79211982034488,79.7808775027179,122.01257670215652,90.56606315647237
D2085.csv,2705.49343685068,2705.49343685068,2705.49343685068,2705.49343685068
D2076.csv,4245.1668639611,5743.6163391859745,500.87100445222467,5162.776721580769
D3640.csv,187.73278701538365,156.61777069321548,194.5244771623199,180.42445094965655
D154.csv,275.0056288280286,312.3613700476678,365.06007104054856,320.6197435536661
D3596.csv,70.5670150190827,48.5153492596852,41.45779866503773,48.59981742249022
D3620.csv,18.763177568346485,272.4971010073151,114.72210239222326,24.816899346793626
D30.csv,79.67454539083572,37.293969469467505,37.138279323104776,44.591011235905036
D3616.csv,59.768074125468864,57.406355350537446,36.54297592724375,53.40457246705665
D1644.csv,525.7200943319765,409.3022042864918,519.1334701123039,328.17336532766103
D1654.csv,354.38153246813397,411.0443104297305,580.0198190371267,374.52302193079794
D1645.csv,121.92037090821859,121.71960973113183,40.108177054478126,117.3884145286259
D174.csv,15.704655024810757,14.41010986035533,13.994651193315404,12.050473755517913
D5.csv,199.61707435235948,218.33198861136495,232.5407941382593,367.69453145650374
D3644.csv,178.71082382032813,371.611265244196,237.99873199927032,311.19822586791105
