fname,xgb,lasso,dt,xgb_lasso_dt
D1656_D1657_D1658.csv,537893.8487947285,442638.0890352358,9457.860795312117,456709.7507062682
D1660_D1661_D1662.csv,8672.390582925895,60173.777452107766,55382.0945026369,6124.501491780715
D2059_D2060_D2061.csv,551949.3711170588,599177.3180302265,4913.352388526321,609503.9704783371
D1615_D1616_D1617.csv,131843.86408868493,170798.83743542113,10511.664737654319,154709.95572223418
D49_D50_D51.csv,812955.9289021993,874272.6101209031,2036.793610312782,823109.6479574015
D1625_D1626_D1627.csv,8473659.406211779,5947392.043757928,240224.30725762533,7912243.291110833
D152_D153_D154.csv,36857925.80041041,34935069.46895678,145574.24663662486,35215273.00645274
D169_D170_D171.csv,43431253.02109315,49192493.12213301,404645.74015040445,45724499.22518725
D2075_D2076_D2077.csv,19450369.00402544,13104241.429652272,1015583.7333567335,19411761.042290505
D3613_D3614_D3615.csv,31239423.58715178,30500512.3174442,3750.9863903155488,31200357.554596372
D3619_D3620_D3621.csv,1487576.830208053,305649.96637689887,179.2490137882895,1533916.0032066852
D1632_D1633_D1634.csv,17043.47824995015,32044.28642130457,11468.49099999999,20921.05503924247
D168_D169_D170.csv,43522291.01463779,46587787.90188734,425352.4463336689,43937353.105150215
D3603_D3604_D3605.csv,3659661.741423668,3974682.7167393537,7229.7445578312645,4173628.678166546
D175_D176_D177.csv,31483810.923967578,34499162.63519102,163359.1736054103,32869986.44134117
D145_D146_D147.csv,20645268.80827244,21082890.52761668,1597.7756652426601,20905414.36047616
D15_D16_D17.csv,3656660.8550653597,4331583.9991620425,68786.89453472223,3837727.783699131
D158_D159_D160.csv,871352.2790889356,806238.6568122893,21378.481536458316,874248.2599186398
D1659_D1660_D1661.csv,21597324.666390415,21452332.407635976,2041.7938837293625,21423653.40375499
D2083_D2084_D2085.csv,1778694.7894736843,1778694.7894736843,7319694.736842105,1778694.7894736843
D46_D47_D48.csv,105364068.55385303,105364179.45054325,0.006057887783446861,105363639.2284284
D146_D147_D148.csv,10437576.782255014,9559673.79247531,39885.5067416072,9428774.051532809
D2065_D2066_D2067.csv,1153761.5135942493,1066843.0873053262,3304.4290812978634,1104257.884483465
D37_D38_D39.csv,34014.85260268121,70621.06064984656,10040.35463853485,34336.307932228876
D2055_D2056_D2057.csv,103089.05022484661,112433.83250470794,1098.407561025923,104747.46200950231
D2044_D2045_D2046.csv,26033684.570305675,27546753.601536237,38322.68247068027,28130924.055190396
D129_D130_D131.csv,2524694.165585452,2823159.826361651,47153.81235827666,2721056.0489726216
D3630_D3631_D3632.csv,1368428.1491233646,1017605.3858170897,24101.26362754859,1292241.5443048936
D2074_D2075_D2076.csv,794058.6788492058,3603527.2572164573,11221363.992094988,686797.2292988036
D162_D163_D164.csv,75610.52664766976,51839.071415957485,18824.105520823756,107867.03875343171
D3639_D3640_D3641.csv,13300926.980008624,12330193.690370584,37140.4597505669,14118654.051333714
D1642_D1643_D1644.csv,4609319.590343132,5009604.394579969,13145.033055110935,4262271.545756696
